,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
33,caro,2e-05,beta-carotene,HMDB00561,C02094,,,,EX_caro_m,EX_caro(e)
34,phyQ,0.0001083305875782,phylloquinone,HMDB03555,C02059,5280483.0,,,EX_phyQ_m,EX_phyQ(e)
35,core2,1.0,Core 2,,,,,,EX_core2_m,EX_core2(e)
36,core2_rl,1.0,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
37,core3,1.0,Core 3,,,,,,EX_core3_m,EX_core3(e)
38,core6,1.0,Core 6,,,,,,EX_core6_m,EX_core6(e)
39,core8,1.0,Core 8,,,,,,EX_core8_m,EX_core8(e)
40,core4,1.0,Core 4,,,,,,EX_core4_m,EX_core4(e)
41,core4_rl,1.0,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
42,core5,1.0,Core 5,,,,,,EX_core5_m,EX_core5(e)
43,gncore1,1.0,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
44,gncore1_rl,1.0,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
45,gncore2,1.0,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
46,gncore2_rl,1.0,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
47,core7,1.0,Core 7,,,,,,EX_core7_m,EX_core7(e)
48,gchola,1.0,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
49,tchola,1.0,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
50,o2,0.001,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
51,12dgr180,2.862947852234847,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
52,26dap_M,10.000000000001243,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
