,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
0,fol,5.5366102052800004e-06,Folate,HMDB00121,C00504,6037.0,,,EX_fol_m,EX_fol(e)
1,ddca,1.898029098418643,laurate,HMDB00638,C02679,3893.0,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",,EX_ddca_m,EX_ddca(e)
2,ttdca,2.0867857127149096,tetradecanoate (n-C14:0),HMDB00806,C06424,11005.0,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",,EX_ttdca_m,EX_ttdca(e)
3,hdca,5.3605880756929585,Hexadecanoate (n-C16:0),HMDB00220,C00249,985.0,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1",,EX_hdca_m,EX_hdca(e)
4,hdcea,0.7525603560848193,Hexadecenoate (n-C16:1),HMDB03229,C08362,445638.0,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/p-1/b8-7-",,EX_hdcea_m,EX_hdcea(e)
5,ocdcea,7.765888136366449,octadecenoate (n-C18:1),HMDB00207,C00712,5460221.0,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9-",,EX_ocdcea_m,EX_ocdcea(e)
6,fe2,0.0021586623690572,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
7,fe3,0.0021586623690572,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
8,mg2,1.5812672289652343,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
9,pi,0.29870815894677316,hydrogenphosphate,HMDB00973,C00009,1004.0,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,EX_pi_m,EX_pi(e)
10,na1,1.1115927127738456,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
11,zn2,0.0284827929030284,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
12,h2o,7739.50768458775,Water,HMDB02111,C00001,962.0,InChI=1S/H2O/h1H2,,EX_h2o_m,EX_h2o(e)
13,trp_L,0.1504900472615525,L-tryptophan,HMDB00929,C00078,6305.0,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",,EX_trp_L_m,EX_trp_L(e)
14,phe_L,0.5250913044504755,L-phenylalanine,HMDB00159,C00079,6140.0,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",,EX_phe_L_m,EX_phe_L(e)
15,val_L,0.9345867517796127,L-valine,HMDB00883,C00183,6287.0,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",,EX_val_L_m,EX_val_L(e)
16,arg_L,0.45794762708972,L-argininium(1+),HMDB00517,C00062,6322.0,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",,EX_arg_L_m,EX_arg_L(e)
17,his_L,0.267605214411948,L-histidine,HMDB00177,C00135,6274.0,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",,EX_his_L_m,EX_his_L(e)
18,glu_L,2.296748523315904,L-glutamate(1-),HMDB00148,C00025,33032.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",,EX_glu_L_m,EX_glu_L(e)
19,ribflv,0.00016566562308446,Riboflavin,HMDB00244,C00255,493570.0,,,EX_ribflv_m,EX_ribflv(e)
20,nac,0.00232059090183166,Nicotinate,HMDB01488,C00253,938.0,,,EX_nac_m,EX_nac(e)
21,pnto_R,0.00160097888895506,(R)-Pantothenate,HMDB00210,C00864,988.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",,EX_pnto_R_m,EX_pnto_R(e)
22,5mthf,5.318521472120001e-06,5-Methyltetrahydrofolate,HMDB01396,C00440,439234.0,,,EX_5mthf_m,EX_5mthf(e)
23,thf,5.4988540037e-06,"5,6,7,8-Tetrahydrofolate",HMDB01846,C00101,91443.0,,,EX_thf_m,EX_thf(e)
24,chol,0.24591252059118315,Choline,HMDB00097,C00114,305.0,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",,EX_chol_m,EX_chol(e)
25,caro,2.063763358382e-05,beta-carotene,HMDB00561,C02094,,,,EX_caro_m,EX_caro(e)
26,phyQ,6.2293693949e-06,phylloquinone,HMDB03555,C02059,5280483.0,,,EX_phyQ_m,EX_phyQ(e)
27,ocdca,1.528369738804167,octadecanoate (n-C18:0),HMDB00827,C01530,3033836.0,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",,EX_ocdca_m,EX_ocdca(e)
28,chsterol,0.0534844764110502,cholesterol,HMDB00067,C00187,5997.0,,,EX_chsterol_m,EX_chsterol(e)
29,ca2,6.10010978591746,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
30,k,2.278728742681906,potassium,HMDB00586,C00238,813.0,InChI=1S/K/q+1,,EX_k_m,EX_k(e)
31,cu2,0.0072661599471249,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
32,mn2,0.0069830733874858,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
33,ascb_L,0.04217599513922754,L-ascorbate,HMDB00044,C00072,,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/p-1/t2-,5+/m0/s1",,EX_ascb_L_m,EX_ascb_L(e)
34,thm,0.00012421356177732,Thiamin,HMDB00235,C00378,1130.0,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,EX_thm_m,EX_thm(e)
35,ncam,0.0023201519595560604,Nicotinamide,HMDB01406,C00153,936.0,,,EX_ncam_m,EX_ncam(e)
36,pydam,6.553140938882e-05,Pyridoxamine,HMDB01431,C00534,1052.0,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",,EX_pydam_m,EX_pydam(e)
37,pydx,6.633074502578001e-05,Pyridoxal,HMDB01545,C00250,1050.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",,EX_pydx_m,EX_pydx(e)
38,pydxn,6.554039596210001e-05,Pyridoxine,HMDB00239,C00314,1054.0,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",,EX_pydxn_m,EX_pydxn(e)
39,retinol,0.00030940095988292004,retinol,HMDB00305,C00473,445354.0,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3",,EX_retinol_m,EX_retinol(e)
40,thr_L,0.6660669312755626,L-threonine,HMDB00167,C00188,6288.0,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",,EX_thr_L_m,EX_thr_L(e)
41,ile_L,0.7242389243509902,L-isoleucine,HMDB00172,C00407,6306.0,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",,EX_ile_L_m,EX_ile_L(e)
42,leu_L,1.2435048702895188,L-leucine,HMDB00687,C00123,6106.0,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",,EX_leu_L_m,EX_leu_L(e)
43,lys_L,0.7668315947158713,L-lysinium(1+),HMDB00182,C00047,5962.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",,EX_lys_L_m,EX_lys_L(e)
44,met_L,0.2505320977700751,L-methionine,HMDB00696,C00073,6137.0,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",,EX_met_L_m,EX_met_L(e)
45,tyr_L,0.4851622481559261,L-tyrosine,HMDB00158,C00082,6057.0,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,EX_tyr_L_m,EX_tyr_L(e)
46,ala_D,0.3715071408367866,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
47,ala_L,0.3715071408367866,L-alanine,HMDB00161,C00041,5950.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,EX_ala_L_m,EX_ala_L(e)
48,asp_L,0.5374471496585406,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
49,gly,0.6732469567024484,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
50,pro_D,3.4944415250520064,D-proline,HMDB03411,C00763,8988.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1",,EX_pro_D_m,EX_pro_D(e)
51,pro_L,0.6988883050104013,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
52,ser_L,0.7381416008358345,L-serine,HMDB00187,C00065,5951.0,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",,EX_ser_L_m,EX_ser_L(e)
53,but,2e-05,butyrate,HMDB00039,C00246,264.0,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1",,EX_but_m,EX_but(e)
54,octa,2e-05,octanoate (n-C8:0),HMDB00482,C06423,379.0,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/p-1",,EX_octa_m,EX_octa(e)
55,etoh,2e-05,ethanol,HMDB00108,C00469,702.0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,EX_etoh_m,EX_etoh(e)
56,core2,1.0,Core 2,,,,,,EX_core2_m,EX_core2(e)
57,core2_rl,1.0,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
58,core3,1.0,Core 3,,,,,,EX_core3_m,EX_core3(e)
59,core6,1.0,Core 6,,,,,,EX_core6_m,EX_core6(e)
60,core8,1.0,Core 8,,,,,,EX_core8_m,EX_core8(e)
61,core4,1.0,Core 4,,,,,,EX_core4_m,EX_core4(e)
62,core4_rl,1.0,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
63,core5,1.0,Core 5,,,,,,EX_core5_m,EX_core5(e)
64,gncore1,1.0,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
65,gncore1_rl,1.0,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
66,gncore2,1.0,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
67,gncore2_rl,1.0,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
68,core7,1.0,Core 7,,,,,,EX_core7_m,EX_core7(e)
69,gchola,1.0,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
70,tchola,1.0,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
71,o2,0.001,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
72,26dap_M,10.0,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
73,4hbz,0.0011368656666656326,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
74,cgly,10.00000000000005,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
75,cl,0.00020023999999985165,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
76,cobalt2,0.00020023999999985165,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
77,melib,4.2266641972215595,Melibiose,,,,,,EX_melib_m,EX_melib(e)
78,mqn7,0.00015879400003626643,Menaquinone 7,,C00828,4086.0,,,EX_mqn7_m,EX_mqn7(e)
