,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
232,5htrp,1.8375150868125427,5-hydroxy-L-tryptophan,HMDB00472,C01017,439280.0,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1",,EX_5htrp_m,EX_5htrp(e)
233,acac,0.9770460180907516,acetoacetate,HMDB00060,C00164,96.0,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_acac_m,EX_acac(e)
234,glygn2,0.003835352735912672,"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_glygn2_m,EX_glygn2(e)
235,pydx5p,0.0026894112857118392,Pyridoxal 5-phosphate,HMDB01491,C00018,1051.0,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)/p-2",,EX_pydx5p_m,EX_pydx5p(e)
236,czp,1.0757537461084894,,,,,,,EX_czp_m,EX_czp(e)
237,cellul,5.144472880072179e-05,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587",,,,,,EX_cellul_m,EX_cellul(e)
238,succ,9.962802502073437,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
239,rmn,1.0606581370108512,L-Rhamnose,,,,,,EX_rmn_m,EX_rmn(e)
240,sbzcoa,6.192999999994273e-05,O-Succinylbenzoyl-CoA,,,,,,EX_sbzcoa_m,EX_sbzcoa(e)
241,adocbl,0.0029623199999974613,Adenosylcobalamin,HMDB02086,C00194,,,,EX_adocbl_m,EX_adocbl(e)
242,nadp,7.939699999980239e-05,Nicotinamide adenine dinucleotide phosphate,HMDB00217,C00006,5886.0,,,EX_nadp_m,EX_nadp(e)
243,sulfac,0.0008077309999992609,sulfoacetate,,,,,,EX_sulfac_m,EX_sulfac(e)
244,no,4.072966769903922,Nitric oxide,HMDB03378,C00533,145068.0,InChI=1S/NO/c1-2,,EX_no_m,EX_no(e)
245,malttr,0.19031324172088032,maltotriose,HMDB01262,C01835,439586.0,,,EX_malttr_m,EX_malttr(e)
246,xyluglc,1.5057856481467449e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L",,,,,,EX_xyluglc_m,EX_xyluglc(e)
247,eltr_m3,7.939699999992778e-05,,,,,,,EX_eltr_m3_m,EX_eltr_m3(e)
248,ph2s,0.0004116949999996251,Polysulfide,,,,,,EX_ph2s_m,EX_ph2s(e)
249,xylan,9.393450328670297e-05,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D",,,,,,EX_xylan_m,EX_xylan(e)
250,bhb,1.227313908625426,(R)-3-hydroxybutyrate,HMDB00011,C01089,,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",,EX_bhb_m,EX_bhb(e)
251,rbflvrd,9.625669098669676e-06,Reduced riboflavin,,,,,,EX_rbflvrd_m,EX_rbflvrd(e)
252,Lcystin,7.888335765337954e-06,L-cystine,HMDB00192,C00491,,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",,EX_Lcystin_m,EX_Lcystin(e)
