sample_id,abundance,genus,id,relative
infant_weaning,0.173517971,Bifidobacterium,Bifidobacterium,0.173517971
infant_weaning,0.143228841,Bacteroides,Bacteroides,0.143228841
infant_weaning,0.131564102,Veillonella,Veillonella,0.131564102
infant_weaning,0.092016213,Bacillus,Bacillus,0.092016213
infant_weaning,0.028031434,Lacticaseibacillus,Lacticaseibacillus,0.028031434
infant_weaning,0.02436057,Prevotella,Prevotella,0.02436057
infant_weaning,0.019327823,Collinsella,Collinsella,0.019327823
infant_weaning,0.014940481,Streptococcus,Streptococcus,0.014940481
infant_weaning,0.008924,Succinispira,Succinispira,0.008924
infant_weaning,0.007138259,Limosilactobacillus,Limosilactobacillus,0.007138259
infant_weaning,0.006920649,Lactobacillus,Lactobacillus,0.006920649
infant_weaning,0.005581901,Erysipelatoclostridium,Erysipelatoclostridium,0.005581901
infant_weaning,0.003221765,Paramuribaculum,Paramuribaculum,0.003221765
infant_weaning,0.003160545,Clostridium,Clostridium,0.003160545
infant_weaning,0.002220751,Anaeroglobus,Anaeroglobus,0.002220751
infant_weaning,0.001674668,Cupriavidus,Cupriavidus,0.001674668
infant_weaning,0.001576595,Asaccharospora,Asaccharospora,0.001576595
infant_weaning,0.001304042,Faecalibacillus,Faecalibacillus,0.001304042
infant_weaning,0.001216777,Coprenecus,Coprenecus,0.001216777
infant_weaning,0.001098004,Eggerthella,Eggerthella,0.001098004
infant_weaning,0.000859107,Holdemanella,Holdemanella,0.000859107
infant_weaning,0.000859096,Niameybacter,Niameybacter,0.000859096
infant_weaning,0.000772758,Flavonifractor,Flavonifractor,0.000772758
infant_weaning,0.000707947,Pseudomonas,Pseudomonas,0.000707947
infant_weaning,0.000707223,Bombilactobacillus,Bombilactobacillus,0.000707223
infant_weaning,0.000671329,Lactococcus,Lactococcus,0.000671329
infant_weaning,0.000588474,Actinomyces,Actinomyces,0.000588474
infant_weaning,0.00058307,Pantoea,Pantoea,0.00058307
infant_weaning,0.000569309,Cellulosilyticum,Cellulosilyticum,0.000569309
infant_weaning,0.000471223,Ligilactobacillus,Ligilactobacillus,0.000471223
infant_weaning,0.000414459,Gilliamella,Gilliamella,0.000414459
infant_weaning,0.000404798,Clostridium,Clostridium,0.000404798
infant_weaning,0.000294764,Lactiplantibacillus,Lactiplantibacillus,0.000294764
infant_weaning,0.000276601,Varibaculum,Varibaculum,0.000276601
infant_weaning,0.000269579,Bifidobacterium,Bifidobacterium,0.000269579
infant_weaning,0.000200437,Eubacterium,Eubacterium,0.000200437
infant_weaning,0.000190702,Leuconostoc,Leuconostoc,0.000190702
infant_weaning,0.000188338,Fusobacterium,Fusobacterium,0.000188338
infant_weaning,0.000170884,Lactococcus,Lactococcus,0.000170884
infant_weaning,0.000161494,Desulfovibrio,Desulfovibrio,0.000161494
infant_weaning,0.000111543,Cryptobacteroides,Cryptobacteroides,0.000111543
infant_weaning,8.03248E-05,Ellagibacter,Ellagibacter,8.03248E-05
infant_weaning,7.55278E-05,Frischella,Frischella,7.55278E-05
infant_weaning,6.02868E-05,Eubacterium,Eubacterium,6.02868E-05
infant_weaning,5.86995E-05,Propionispira,Propionispira,5.86995E-05
infant_weaning,5.8418E-05,Bilophila,Bilophila,5.8418E-05
infant_weaning,5.21008E-05,Agathobacter,Agathobacter,5.21008E-05
infant_weaning,5.21008E-05,Apilactobacillus,Apilactobacillus,5.21008E-05
infant_weaning,4.46578E-05,Mesorhizobium,Mesorhizobium,4.46578E-05
infant_weaning,4.2721E-05,Weissella,Weissella,4.2721E-05
infant_weaning,3.72148E-05,Christensenella,Christensenella,3.72148E-05
infant_weaning,3.6618E-05,Gemella,Gemella,3.6618E-05
infant_weaning,3.65113E-05,Fimenecus,Fimenecus,3.65113E-05
infant_weaning,3.65113E-05,Duncaniella,Duncaniella,3.65113E-05
infant_weaning,3.65113E-05,Luxibacter,Luxibacter,3.65113E-05
infant_weaning,2.97719E-05,Peptoniphilus,Peptoniphilus,2.97719E-05
infant_weaning,2.9209E-05,Lawsonibacter,Lawsonibacter,2.9209E-05
infant_weaning,2.9209E-05,Sporobacter,Sporobacter,2.9209E-05
infant_weaning,2.9209E-05,Barnesiella,Barnesiella,2.9209E-05
infant_weaning,2.23289E-05,Bartonella,Bartonella,2.23289E-05
infant_weaning,2.19068E-05,Gemmiger,Gemmiger,2.19068E-05
infant_weaning,2.19068E-05,Alistipes,Alistipes,2.19068E-05
infant_weaning,1.48859E-05,Dysosmobacter,Dysosmobacter,1.48859E-05
infant_weaning,1.46045E-05,Massilioclostridium,Massilioclostridium,1.46045E-05
infant_weaning,1.46045E-05,Neisseria,Neisseria,1.46045E-05
infant_weaning,1.2206E-05,Finegoldia,Finegoldia,1.2206E-05
