,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
228,gtp,10.0,GTP,HMDB01273,C00044,6830.0,,,EX_gtp_m,EX_gtp(e)
229,n2o,10.0,Nitrous oxide,,,,,,EX_n2o_m,EX_n2o(e)
230,man6p,10.0,D-Mannose 6-phosphate,HMDB01078,C00275,65127.0,,,EX_man6p_m,EX_man6p(e)
231,2ddglcn,10.0,2-Dehydro-3-deoxy-D-gluconate,,,,,,EX_2ddglcn_m,EX_2ddglcn(e)
232,glytyr,10.000000001,Glycyl-L-tyrosine,,,,,,EX_glytyr_m,EX_glytyr(e)
233,rbflvrd,0.01568982000000002,Reduced riboflavin,,,,,,EX_rbflvrd_m,EX_rbflvrd(e)
234,drib,10.000000002,2-deoxy-D-ribose,HMDB03224,C01801,22833604.0,"InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1",,EX_drib_m,EX_drib(e)
235,phenol,0.0023819099999999997,Phenol,,,,,,EX_phenol_m,EX_phenol(e)
236,1hibupglu_S,7.124219582877618,,,,,,,EX_1hibupglu_S_m,EX_1hibupglu_S(e)
237,tagat_D,5.069831779276989,,,,,,,EX_tagat_D_m,EX_tagat_D(e)
238,g6p,10.0,D-Glucose 6-phosphate,HMDB01401,C00092,5958.0,,,EX_g6p_m,EX_g6p(e)
239,3hphac,0.14106130040257092,3-Hydroxyphenylacetate,,,,,,EX_3hphac_m,EX_3hphac(e)
240,inost,8.418907733779863,myo-inositol,HMDB00211,C00137,892.0,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",,EX_inost_m,EX_inost(e)
241,lac_D,10.0,(R)-lactate,HMDB01311,C00256,61503.0,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m1/s1",,EX_lac_D_m,EX_lac_D(e)
242,glcn,10.0,D-gluconate,HMDB00625,C00257,10690.0,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5-/m1/s1",,EX_glcn_m,EX_glcn(e)
243,salcn,7.52948582917967,Salicin,,C01451,,,,EX_salcn_m,EX_salcn(e)
244,chtbs,10.000000001,"N,N-diacetylchitobiose",,,,,,EX_chtbs_m,EX_chtbs(e)
245,glu_D,0.18277319999999997,D-Glutamate,,,,,,EX_glu_D_m,EX_glu_D(e)
246,etha,10.0,etha[c],HMDB00149,C00189,700.0,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",,EX_etha_m,EX_etha(e)
247,lmn2,2.598113926905363,Laminaribiose,,,,,,EX_lmn2_m,EX_lmn2(e)
248,czp,8.648107079921,,,,,,,EX_czp_m,EX_czp(e)
249,alaleu,0.3837585900000793,L-alanyl-L-leucine,,,,,,EX_alaleu_m,EX_alaleu(e)
250,dhnacoa,0.0021694519081339857,"1,4-Dihydroxy-2-naphthoyl-CoA",,C15547,,,,EX_dhnacoa_m,EX_dhnacoa(e)
251,duri,0.5803881903639292,Deoxyuridine,HMDB00012,C00526,13712.0,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",,EX_duri_m,EX_duri(e)
252,xylottr,9.875143936006285,,,,,,,EX_xylottr_m,EX_xylottr(e)
253,glygn5,9.535615104778783,"glycogen, structure 5 (glycogenin-2[1,4-Glc])",,,,,,EX_glygn5_m,EX_glygn5(e)
254,pecticgal,2.5879027962148626,"Pectic galactan (potato), gal: arab-L: rmn: galur = 78: 9: 4: 9 (www.megazyme.com). Assumed to consist of 100 sugars per macromo... <Preview truncated at 128 characters>",,,,,,EX_pecticgal_m,EX_pecticgal(e)
255,h2,10.0,Hydrogen,HMDB01362,C00282,783.0,InChI=1S/H2/h1H,,EX_h2_m,EX_h2(e)
256,datp,0.025613340000648424,dATP,HMDB01532,C00131,15993.0,,,EX_datp_m,EX_datp(e)
257,mal_L,10.0,(S)-malate(2-),HMDB00156,C00149,222656.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",,EX_mal_L_m,EX_mal_L(e)
258,fald,0.004554130089952194,formaldehyde,HMDB01426,C00067,712.0,InChI=1S/CH2O/c1-2/h1H2,,EX_fald_m,EX_fald(e)
259,galctn_D,7.036832922929499,D-Galactonate,,,,,,EX_galctn_D_m,EX_galctn_D(e)
260,arabinogal,0.009034401366487393,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",,C00569,,,,EX_arabinogal_m,EX_arabinogal(e)
261,lmn30,0.19176490618428563,"laminarin (n=30 repeat units, beta -1,3 glc)",,,,,,EX_lmn30_m,EX_lmn30(e)
262,rmn,10.0,L-Rhamnose,,,,,,EX_rmn_m,EX_rmn(e)
263,glutar,9.364795387785144,Glutarate,HMDB00661,C00489,3772.0,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",,EX_glutar_m,EX_glutar(e)
264,5aop,0.017268719999999998,5-Amino-4-oxopentanoate,HMDB01149,C00430,137.0,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",,EX_5aop_m,EX_5aop(e)
265,nzp,9.93752909933318,,,,,,,EX_nzp_m,EX_nzp(e)
266,eltr_m3,0.002691794662284863,,,,,,,EX_eltr_m3_m,EX_eltr_m3(e)
267,dgchol,10.0,glycochenodeoxycholate,HMDB00637,C05466,,,,EX_dgchol_m,EX_dgchol(e)
268,R_7oh_warf_glc,4.143324652832636,,,,,,,EX_R_7oh_warf_glc_m,EX_R_7oh_warf_glc(e)
269,sbzcoa,0.005799404593744879,O-Succinylbenzoyl-CoA,,,,,,EX_sbzcoa_m,EX_sbzcoa(e)
270,R_6oh_warf_glc,10.0,,,,,,,EX_R_6oh_warf_glc_m,EX_R_6oh_warf_glc(e)
271,xtsn,9.261094011123621,xanthosine,HMDB00299,C01762,64959.0,,,EX_xtsn_m,EX_xtsn(e)
272,fuc_L,6.552987898554475,L-fucose,HMDB00174,C01019,17106.0,,,EX_fuc_L_m,EX_fuc_L(e)
273,dtmp,0.004634345488213828,dTMP,HMDB01227,C00364,9700.0,,,EX_dtmp_m,EX_dtmp(e)
274,pydx5p,0.00212742814459428,Pyridoxal 5-phosphate,HMDB01491,C00018,1051.0,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)/p-2",,EX_pydx5p_m,EX_pydx5p(e)
275,bocbnleu,0.00019095499999999981,,,,,,,EX_bocbnleu_m,EX_bocbnleu(e)
276,Lcystin,0.01568982000000002,L-cystine,HMDB00192,C00491,,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",,EX_Lcystin_m,EX_Lcystin(e)
