reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_etoh_m,etoh,0.18993496626755002,ethanol,HMDB00108,C00469,702.0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,EX_etoh_m,EX_etoh(e)
EX_h2o_m,h2o,1513.9278064694752,Water,HMDB02111,C00001,962.0,InChI=1S/H2O/h1H2,,EX_h2o_m,EX_h2o(e)
EX_caro_m,caro,0.00010943005845334667,beta-carotene,HMDB00561,C02094,,,,EX_caro_m,EX_caro(e)
EX_retinol_m,retinol,0.0091638517641375,retinol,HMDB00305,C00473,445354.0,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3",,EX_retinol_m,EX_retinol(e)
EX_thm_m,thm,0.06029667471376034,Thiamin,HMDB00235,C00378,1130.0,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,EX_thm_m,EX_thm(e)
EX_ribflv_m,ribflv,5.745768922045916e-05,Riboflavin,HMDB00244,C00255,493570.0,,,EX_ribflv_m,EX_ribflv(e)
EX_nac_m,nac,0.0039994048667160755,Nicotinate,HMDB01488,C00253,938.0,,,EX_nac_m,EX_nac(e)
EX_ncam_m,ncam,0.0018031447663561084,Nicotinamide,HMDB01406,C00153,936.0,,,EX_ncam_m,EX_ncam(e)
EX_pnto_R_m,pnto_R,0.0004570928436902859,(R)-Pantothenate,HMDB00210,C00864,988.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",,EX_pnto_R_m,EX_pnto_R(e)
EX_pydam_m,pydam,4.161716932327001e-05,Pyridoxamine,HMDB01431,C00534,1052.0,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",,EX_pydam_m,EX_pydam(e)
EX_pydxn_m,pydxn,4.162287644517583e-05,Pyridoxine,HMDB00239,C00314,1054.0,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",,EX_pydxn_m,EX_pydxn(e)
EX_pydx_m,pydx,4.2124805079304165e-05,Pyridoxal,HMDB01545,C00250,1050.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",,EX_pydx_m,EX_pydx(e)
EX_btn_m,btn,3.993482193169167e-06,Biotin,HMDB00030,C00120,171548.0,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",,EX_btn_m,EX_btn(e)
EX_10fthf_m,10fthf,2.1224727778325002e-06,10-Formyltetrahydrofolate,HMDB00972,C00234,122347.0,,,EX_10fthf_m,EX_10fthf(e)
EX_5mthf_m,5mthf,2.1825453521175e-06,5-Methyltetrahydrofolate,HMDB01396,C00440,439234.0,,,EX_5mthf_m,EX_5mthf(e)
EX_thf_m,thf,2.2565478602766667e-06,"5,6,7,8-Tetrahydrofolate",HMDB01846,C00101,91443.0,,,EX_thf_m,EX_thf(e)
EX_ascb_L_m,ascb_L,0.012615432876379585,L-ascorbate,HMDB00044,C00072,,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/p-1/t2-,5+/m0/s1",,EX_ascb_L_m,EX_ascb_L(e)
EX_phyQ_m,phyQ,3.901283430630833e-05,phylloquinone,HMDB03555,C02059,5280483.0,,,EX_phyQ_m,EX_phyQ(e)
EX_ca2_m,ca2,1.3758379493321373,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
EX_cl_m,cl,9.643542154401583,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
EX_k_m,k,0.9703981162011334,potassium,HMDB00586,C00238,813.0,InChI=1S/K/q+1,,EX_k_m,EX_k(e)
EX_mg2_m,mg2,1.2981382431598458,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
EX_na1_m,na1,1.2325990018228916,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
EX_pi_m,pi,0.1861338851189792,hydrogenphosphate,HMDB00973,C00009,1004.0,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,EX_pi_m,EX_pi(e)
EX_cu2_m,cu2,0.0019719966638340708,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
EX_fe2_m,fe2,0.003537134031694867,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
EX_fe3_m,fe3,0.003537134031694867,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
EX_mn2_m,mn2,0.007265760306298958,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
EX_zn2_m,zn2,0.010199984704802708,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
EX_mnl_m,mnl,0.1121331622128125,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
