,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
0,fol,6.9596345961799995e-06,Folate,HMDB00121,C00504,6037.0,,,EX_fol_m,EX_fol(e)
1,ttdca,0.03301328712235498,tetradecanoate (n-C14:0),HMDB00806,C06424,11005.0,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",,EX_ttdca_m,EX_ttdca(e)
2,hdca,2.1256843245198715,Hexadecanoate (n-C16:0),HMDB00220,C00249,985.0,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1",,EX_hdca_m,EX_hdca(e)
3,ocdca,0.8049633593479083,octadecanoate (n-C18:0),HMDB00827,C01530,3033836.0,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",,EX_ocdca_m,EX_ocdca(e)
4,arach,0.07469316020512162,arachidate,HMDB02212,C06425,10467.0,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)/p-1",,EX_arach_m,EX_arach(e)
5,ttdcea,0.0333086159085251,tetradecenoate (n-C14:1),HMDB02000,C08322,68344.0,"InChI=1/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-",,EX_ttdcea_m,EX_ttdcea(e)
6,hdcea,0.028633746684593498,Hexadecenoate (n-C16:1),HMDB03229,C08362,445638.0,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/p-1/b8-7-",,EX_hdcea_m,EX_hdcea(e)
7,ocdcea,1.9583725050043808,octadecenoate (n-C18:1),HMDB00207,C00712,5460221.0,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9-",,EX_ocdcea_m,EX_ocdcea(e)
8,chsterol,2e-05,cholesterol,HMDB00067,C00187,5997.0,,,EX_chsterol_m,EX_chsterol(e)
9,ca2,19.69611757073706,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
10,fe2,0.0172937953263497,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
11,fe3,0.0172937953263497,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
12,mg2,17.242748405677848,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
13,pi,2.2418584007176547,hydrogenphosphate,HMDB00973,C00009,1004.0,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,EX_pi_m,EX_pi(e)
14,k,2.6044968707079335,potassium,HMDB00586,C00238,813.0,InChI=1S/K/q+1,,EX_k_m,EX_k(e)
15,na1,0.17412962919478242,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
16,zn2,0.08763505659223,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
17,cu2,0.0181903502974223,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
18,mn2,0.0620057193516805,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
19,h2o,80.55162062427007,Water,HMDB02111,C00001,962.0,InChI=1S/H2O/h1H2,,EX_h2o_m,EX_h2o(e)
20,trp_L,0.5341515150921631,L-tryptophan,HMDB00929,C00078,6305.0,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",,EX_trp_L_m,EX_trp_L(e)
21,thr_L,1.4891956964116615,L-threonine,HMDB00167,C00188,6288.0,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",,EX_thr_L_m,EX_thr_L(e)
22,ile_L,1.5278323495173165,L-isoleucine,HMDB00172,C00407,6306.0,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",,EX_ile_L_m,EX_ile_L(e)
23,leu_L,2.615053871645744,L-leucine,HMDB00687,C00123,6106.0,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",,EX_leu_L_m,EX_leu_L(e)
24,lys_L,1.6487868175317861,L-lysinium(1+),HMDB00182,C00047,5962.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",,EX_lys_L_m,EX_lys_L(e)
25,met_L,0.9859682209055212,L-methionine,HMDB00696,C00073,6137.0,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",,EX_met_L_m,EX_met_L(e)
26,phe_L,1.5388618256289308,L-phenylalanine,HMDB00159,C00079,6140.0,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",,EX_phe_L_m,EX_phe_L(e)
27,tyr_L,0.7774367578516297,L-tyrosine,HMDB00158,C00082,6057.0,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,EX_tyr_L_m,EX_tyr_L(e)
28,val_L,2.0290013427654134,L-valine,HMDB00883,C00183,6287.0,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",,EX_val_L_m,EX_val_L(e)
29,arg_L,3.060224680367264,L-argininium(1+),HMDB00517,C00062,6322.0,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",,EX_arg_L_m,EX_arg_L(e)
30,his_L,0.8562827012541039,L-histidine,HMDB00177,C00135,6274.0,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",,EX_his_L_m,EX_his_L(e)
31,ala_D,1.4659300597576472,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
32,ala_L,1.4659300597576472,L-alanine,HMDB00161,C00041,5950.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,EX_ala_L_m,EX_ala_L(e)
33,asp_L,1.5995637977905248,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
34,glu_L,5.99296611787604,L-glutamate(1-),HMDB00148,C00025,33032.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",,EX_glu_L_m,EX_glu_L(e)
35,gly,3.1430569654147122,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
36,pro_D,4.215980995479044,D-proline,HMDB03411,C00763,8988.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1",,EX_pro_D_m,EX_pro_D(e)
37,pro_L,0.8431961990958089,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
38,ser_L,2.4974146609751777,L-serine,HMDB00187,C00065,5951.0,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",,EX_ser_L_m,EX_ser_L(e)
39,ascb_L,0.00228602493658496,L-ascorbate,HMDB00044,C00072,,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/p-1/t2-,5+/m0/s1",,EX_ascb_L_m,EX_ascb_L(e)
40,thm,0.00058459133551858,Thiamin,HMDB00235,C00378,1130.0,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,EX_thm_m,EX_thm(e)
41,ribflv,0.00011301296431458,Riboflavin,HMDB00244,C00255,493570.0,,,EX_ribflv_m,EX_ribflv(e)
42,nac,0.009046842176386021,Nicotinate,HMDB01488,C00253,938.0,,,EX_nac_m,EX_nac(e)
43,ncam,0.00904513095641664,Nicotinamide,HMDB01406,C00153,936.0,,,EX_ncam_m,EX_ncam(e)
44,5mthf,6.685492506339999e-06,5-Methyltetrahydrofolate,HMDB01396,C00440,439234.0,,,EX_5mthf_m,EX_5mthf(e)
45,thf,6.912174262700001e-06,"5,6,7,8-Tetrahydrofolate",HMDB01846,C00101,91443.0,,,EX_thf_m,EX_thf(e)
46,core2,1.0,Core 2,,,,,,EX_core2_m,EX_core2(e)
47,core2_rl,1.0,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
48,core3,1.0,Core 3,,,,,,EX_core3_m,EX_core3(e)
49,core6,1.0,Core 6,,,,,,EX_core6_m,EX_core6(e)
50,core8,1.0,Core 8,,,,,,EX_core8_m,EX_core8(e)
51,core4,1.0,Core 4,,,,,,EX_core4_m,EX_core4(e)
52,core4_rl,1.0,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
53,core5,1.0,Core 5,,,,,,EX_core5_m,EX_core5(e)
54,gncore1,1.0,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
55,gncore1_rl,1.0,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
56,gncore2,1.0,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
57,gncore2_rl,1.0,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
58,core7,1.0,Core 7,,,,,,EX_core7_m,EX_core7(e)
59,gchola,1.0,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
60,tchola,1.0,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
61,o2,0.001,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
62,12dgr180,0.33028599659969693,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
63,26dap_M,10.000000000001316,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
64,cgly,10.0,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
65,cl,0.00020023999999981787,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
66,cobalt2,0.00020023999999985165,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
67,mqn7,0.00015879400003626643,Menaquinone 7,,C00828,4086.0,,,EX_mqn7_m,EX_mqn7(e)
68,nmn,0.005288167999994939,NMN,HMDB00229,C00455,14180.0,,,EX_nmn_m,EX_nmn(e)
69,pheme,7.939699999992778e-05,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
70,pnto_R,0.009033989998584542,(R)-Pantothenate,HMDB00210,C00864,988.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",,EX_pnto_R_m,EX_pnto_R(e)
71,ptrc,0.01542983716627333,Putrescine,HMDB01414,C00134,1045.0,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2,,EX_ptrc_m,EX_ptrc(e)
72,sheme,7.939699999992778e-05,Siroheme,,,,,,EX_sheme_m,EX_sheme(e)
73,so4,0.31232994593697505,sulfate,HMDB01448,C00059,1118.0,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_so4_m,EX_so4(e)
74,spmd,7.939699999992782e-05,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
75,4hbz,0.000870129363635572,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
76,alaasp,10.0,L-alanyl-L-aspartate,,,,,,EX_alaasp_m,EX_alaasp(e)
77,dextran40,0.005434904305442951,"Dextran 40, 1,6-alpha-D-Glucan",,C00372,,,,EX_dextran40_m,EX_dextran40(e)
78,glygln,10.0,Glycyl-L-glutamine,,,,,,EX_glygln_m,EX_glygln(e)
79,hxan,9.686717041529633,Hypoxanthine,HMDB00157,C00262,790.0,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",,EX_hxan_m,EX_hxan(e)
80,mqn8,0.00015879400003626643,Menaquinone 8,,C00828,4086.0,,,EX_mqn8_m,EX_mqn8(e)
81,pullulan1200,5.0236152741762446e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",,,,,,EX_pullulan1200_m,EX_pullulan1200(e)
82,pydx,10.0,Pyridoxal,HMDB01545,C00250,1050.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",,EX_pydx_m,EX_pydx(e)
83,rib_D,10.0,D-ribose,HMDB00283,C00121,5779.0,,,EX_rib_D_m,EX_rib_D(e)
84,thymd,0.00047927999999956416,Thymidine,HMDB00273,C00214,5789.0,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",,EX_thymd_m,EX_thymd(e)
85,csn,10.0,cytosine,HMDB00630,C00380,597.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,EX_csn_m,EX_csn(e)
86,glyasn,10.0,Glycyl-L-asparagine,,,,,,EX_glyasn_m,EX_glyasn(e)
87,ins,10.0,Inosine,HMDB00195,C00294,6021.0,,,EX_ins_m,EX_ins(e)
88,no3,5.252798220632515,Nitrate,,,,,,EX_no3_m,EX_no3(e)
89,ddca,2.8484331404508083,laurate,HMDB00638,C02679,3893.0,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",,EX_ddca_m,EX_ddca(e)
90,cellul,1.000028456981333,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587",,,,,,EX_cellul_m,EX_cellul(e)
91,cytd,10.0,Cytidine,HMDB00089,C00475,6175.0,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",,EX_cytd_m,EX_cytd(e)
92,glyglu,10.0,Glycyl-L-glutamate,,,,,,EX_glyglu_m,EX_glyglu(e)
93,melib,7.209959019660542,Melibiose,,,,,,EX_melib_m,EX_melib(e)
94,alaglu,10.0,L-alanyl-L-glutamate,,,,,,EX_alaglu_m,EX_alaglu(e)
95,glycys,10.0,Gly-Cys,,,,,,EX_glycys_m,EX_glycys(e)
96,q8,10.0,Ubiquinone-8,,,,,,EX_q8_m,EX_q8(e)
97,xyl_D,10.0,aldehydo-D-xylose,,,644160.0,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",,EX_xyl_D_m,EX_xyl_D(e)
98,gthrd,7.939699999992778e-05,Reduced glutathione,HMDB00125,C00051,124886.0,,,EX_gthrd_m,EX_gthrd(e)
99,malt,10.0,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
100,ura,0.012321599999989274,uracil,HMDB00300,C00106,1174.0,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,EX_ura_m,EX_ura(e)
101,gln_L,10.0,L-glutamine,HMDB00641,C00064,5961.0,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,EX_gln_L_m,EX_gln_L(e)
102,gthox,0.0004271824999996119,Oxidized glutathione,HMDB03337,C00127,65359.0,,,EX_gthox_m,EX_gthox(e)
103,2dmmq8,6.997456809916118,2-Demethylmenaquinone 8,,,,,,EX_2dmmq8_m,EX_2dmmq8(e)
104,4abz,0.0055898799887270515,4-Aminobenzoate,,,,,,EX_4abz_m,EX_4abz(e)
105,asn_L,10.0,L-asparagine,HMDB00168,C00152,6267.0,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,EX_asn_L_m,EX_asn_L(e)
106,glc_D,10.0,D-glucose,HMDB00122,C00031,5793.0,,,EX_glc_D_m,EX_glc_D(e)
107,pydx5p,0.0026894112857118392,Pyridoxal 5-phosphate,HMDB01491,C00018,1051.0,"InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)/p-2",,EX_pydx5p_m,EX_pydx5p(e)
108,amet,10.0,S-Adenosyl-L-methionine,HMDB01185,C00019,34756.0,,,EX_amet_m,EX_amet(e)
109,btn,7.195299999993456e-05,Biotin,HMDB00030,C00120,171548.0,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",,EX_btn_m,EX_btn(e)
110,fru,10.0,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
111,xan,0.7455811700032857,Xanthine,HMDB00292,C00385,1188.0,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,EX_xan_m,EX_xan(e)
112,cit,6.458715726489024,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
113,cys_L,0.02923251314282993,L-cysteine,HMDB00574,C00097,5862.0,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",,EX_cys_L_m,EX_cys_L(e)
114,dpcoa,0.00015879400007179356,Dephospho-CoA,HMDB01373,C00882,444485.0,,,EX_dpcoa_m,EX_dpcoa(e)
115,dtmp,0.0003678699999996654,dTMP,HMDB01227,C00364,9700.0,,,EX_dtmp_m,EX_dtmp(e)
116,glyc,10.0,Glycerol,HMDB00131,C00116,753.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",,EX_glyc_m,EX_glyc(e)
117,ade,0.004417409999996735,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
118,glymet,0.002163329999998077,Glycyl-L-methionine,,,,,,EX_glymet_m,EX_glymet(e)
119,strch2,10.000000000000004,"starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",,,,,,EX_strch2_m,EX_strch2(e)
120,arabttr,10.0,Arabinotriose,,,,,,EX_arabttr_m,EX_arabttr(e)
121,stys,10.0,Stachyose,,,,,,EX_stys_m,EX_stys(e)
122,alagln,10.0,L-alanyl-L-glutamine,,,,,,EX_alagln_m,EX_alagln(e)
123,dextrin,10.000000000000002,Dextrin,,C00721,,,,EX_dextrin_m,EX_dextrin(e)
124,gsn,10.0,Guanosine,HMDB00133,C00387,6802.0,,,EX_gsn_m,EX_gsn(e)
125,lanost,0.00017150249999984402,lanosterol,HMDB01251,C01724,246983.0,,,EX_lanost_m,EX_lanost(e)
126,strch1,10.0,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_strch1_m,EX_strch1(e)
127,malthx,10.0,Maltohexaose,HMDB12253,C01936,439606.0,,,EX_malthx_m,EX_malthx(e)
128,lcts,10.000000000000002,Lactose,HMDB00186,C00243,440995.0,,,EX_lcts_m,EX_lcts(e)
129,chor,0.04029737999996286,chorismate,,,,,,EX_chor_m,EX_chor(e)
130,lactl,10.0,,,,,,,EX_lactl_m,EX_lactl(e)
131,gam,10.0,D-Glucosamine,HMDB01514,C00329,439213.0,,,EX_gam_m,EX_gam(e)
132,ac,3.9265362381822024,acetate,HMDB00042,C00033,176.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",,EX_ac_m,EX_ac(e)
133,h2s,1.262537239176698,Hydrogen sulfide,,,,,,EX_h2s_m,EX_h2s(e)
134,h,10.0,proton,HMDB01362,C00282,1038.0,InChI=1S/p+1/i/hH,,EX_h_m,EX_h(e)
135,etoh,8.491885169282959,ethanol,HMDB00108,C00469,702.0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,EX_etoh_m,EX_etoh(e)
136,co2,10.0,carbon dioxide,HMDB01967,C00011,280.0,InChI=1S/CO2/c2-1-3,,EX_co2_m,EX_co2(e)
137,for,10.0,Formate,HMDB00142,C00058,284.0,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,EX_for_m,EX_for(e)
138,sucbz,0.0007614599999993067,o-Succinylbenzoate,,,,,,EX_sucbz_m,EX_sucbz(e)
